Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SHL,SONIC HEALTHCARE LTD,Health Care,Equity,"1,897,219.91",0.01,"1,897,219.91","109,233.00",17.37,Australia,Asx - All Markets,USD,1.61,AUD,-
SHP,SHOPRITE HOLDINGS LTD,Consumer Staples,Equity,"1,894,783.01",0.01,"1,894,783.01","121,724.00",15.57,South Africa,Johannesburg Stock Exchange,USD,18.90,ZAR,-
SGP,STOCKLAND STAPLED UNITS LTD,Real Estate,Equity,"1,892,316.43",0.01,"1,892,316.43","632,726.00",2.99,Australia,Asx - All Markets,USD,1.61,AUD,-
EFN,ELEMENT FLEET MANAGEMENT CORP,Industrials,Equity,"1,892,470.63",0.01,"1,892,470.63","94,686.00",19.99,Canada,Toronto Stock Exchange,USD,1.44,CAD,-
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Equity,"1,891,410.71",0.01,"1,891,410.71","57,859.00",32.69,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
PEO,BANK PEKAO SA,Financials,Equity,"1,886,165.62",0.01,"1,886,165.62","54,196.00",34.80,Poland,Warsaw Stock Exchange/Equities/Main Market,USD,4.14,PLN,-
9697,CAPCOM LTD,Communication,Equity,"1,886,804.87",0.01,"1,886,804.87","88,500.00",21.32,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
PTTEP.R,PTT EXPLORATION AND PRODUCTION NON,Energy,Equity,"1,887,872.92",0.01,"1,887,872.92","535,800.00",3.52,Thailand,Stock Exchange Of Thailand,USD,34.63,THB,-
ORK,ORKLA,Consumer Staples,Equity,"1,884,763.99",0.01,"1,884,763.99","210,525.00",8.95,Norway,Oslo Bors Asa,USD,11.40,NOK,-
SCHN,SCHINDLER HOLDING AG,Industrials,Equity,"1,870,605.71",0.01,"1,870,605.71","6,922.00",270.24,Switzerland,SIX Swiss Exchange,USD,0.91,CHF,-
LTIM,LTIMINDTREE LTD,Information Technology,Equity,"1,871,526.53",0.01,"1,871,526.53","27,515.00",68.02,India,National Stock Exchange Of India,USD,85.87,INR,-
HM B,HENNES & MAURITZ,Consumer Discretionary,Equity,"1,868,896.40",0.01,"1,868,896.40","142,546.00",13.11,Sweden,Nasdaq Omx Nordic,USD,11.15,SEK,-
810,SAMSUNG FIRE & MARINE INSURANCE LT,Financials,Equity,"1,868,950.12",0.01,"1,868,950.12","7,562.00",247.15,Korea (South),Korea Exchange (Stock Market),USD,"1,460.65",KRW,-
JSWSTEEL,JSW STEEL LTD,Materials,Equity,"1,867,335.10",0.01,"1,867,335.10","179,973.00",10.38,India,National Stock Exchange Of India,USD,85.87,INR,-
1801,TAISEI CORP,Industrials,Equity,"1,867,632.22",0.01,"1,867,632.22","45,700.00",40.87,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
1113,CK ASSET HOLDINGS LTD,Real Estate,Equity,"1,865,779.09",0.01,"1,865,779.09","459,516.00",4.06,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
CEZ,CEZ,Utilities,Equity,"1,857,991.74",0.01,"1,857,991.74","45,229.00",41.08,Czech Republic,Prague Stock Exchange,USD,24.34,CZK,-
IMCD,IMCD NV,Industrials,Equity,"1,858,143.20",0.01,"1,858,143.20","13,078.00",142.08,Netherlands,Euronext Amsterdam,USD,0.97,EUR,-
BAJAJ.AUTO,BAJAJ AUTO,Consumer Discretionary,Equity,"1,855,778.13",0.01,"1,855,778.13","18,035.00",102.90,India,National Stock Exchange Of India,USD,85.87,INR,-
7272,YAMAHA MOTOR LTD,Consumer Discretionary,Equity,"1,855,850.61",0.01,"1,855,850.61","223,800.00",8.29,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
COALINDIA,COAL INDIA LTD,Energy,Equity,"1,853,284.61",0.01,"1,853,284.61","427,567.00",4.33,India,National Stock Exchange Of India,USD,85.87,INR,-
2020,SABIC AGRI-NUTRIENTS,Materials,Equity,"1,849,365.05",0.01,"1,849,365.05","65,132.00",28.39,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
LUPIN,LUPIN LTD,Health Care,Equity,"1,849,490.75",0.01,"1,849,490.75","70,495.00",26.24,India,National Stock Exchange Of India,USD,85.87,INR,-
FGR,EIFFAGE SA,Industrials,Equity,"1,850,360.13",0.01,"1,850,360.13","21,588.00",85.71,France,Nyse Euronext - Euronext Paris,USD,0.97,EUR,-
7203,AL-ELM INFORMATION SECURITY COMPAN,Information Technology,Equity,"1,848,036.60",0.01,"1,848,036.60","5,931.00",311.59,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
9503,KANSAI ELECTRIC POWER INC,Utilities,Equity,"1,843,617.66",0.01,"1,843,617.66","173,000.00",10.66,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
4689,LY CORP,Communication,Equity,"1,843,622.35",0.01,"1,843,622.35","688,200.00",2.68,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
DKK,DKK CASH,Cash and/or Derivatives,Cash,"1,842,526.24",0.01,"1,842,526.24","13,346,892.00",13.80,Denmark,-,USD,7.24,DKK,-
DSCT,ISRAEL DISCOUNT BANK LTD,Financials,Equity,"1,842,471.42",0.01,"1,842,471.42","267,381.00",6.89,Israel,Tel Aviv Stock Exchange,USD,3.66,ILS,-
MPL,MEDIBANK PRIVATE LTD,Financials,Equity,"1,836,797.32",0.01,"1,836,797.32","774,518.00",2.37,Australia,Asx - All Markets,USD,1.61,AUD,-
